image_id,time_in_microseconds,prediction
10707,10616571,a man playing a video game with a remote control
117014,4204543,a snowboarder is in mid air in the snow
154830,3870852,a man riding a bike down a street
168797,4034522,a man doing a trick on a skateboard
169250,3960603,a living room with a couch and a television
179187,4005360,a cloudy sky
185546,4127649,a bathroom with a toilet and a sink
192554,3866600,a bathroom with a sink and a mirror
193021,3839790,a kitchen with a refrigerator and a table
200058,3890470,a person on a snowboard in the snow
222343,5487423,a poster on the wall
235642,4565424,a wire fence
249295,4945551,a clock tower with a flag on top of it
256470,4999374,a horse is standing in the grass by the water
26518,5082765,a person is standing on a skateboard
274947,4980574,a red double decker bus
306437,4434137,a man riding a skateboard on a cement surface
322762,4390963,the elephant is standing
323507,4274194,a blue vase filled with yellow flowers on a wooden table
335099,4065509,a dog looking through a gate at a dog bowl
33650,3943589,a canopy over a bed
338847,4000244,a woman in a black dress and red tie
342958,3937181,a yellow kayak on a balcony overlooking the ocean
345125,3918008,a woman in a pink jacket talking on a cell
34657,3878472,three men sitting on a couch
354572,4085513,a person sitting on a stone statue
356828,4204811,a computer keyboard with a blue button on it
35807,4170361,a large elephant standing on a wet surface
368242,4093012,a boy flying a kite in a field
391255,4039245,a man and woman cutting a cake
404642,4038503,two hot dogs on a plate
4069,4156945,two people riding bikes
406932,4441285,a dog is looking in the side mirror of a car
407646,4039358,a man playing tennis
424293,4390354,a stop sign on a street corner with a stop sign
425361,4343673,a man sitting at a desk with a piece of pizza
432146,4013038,a person skiing down a snowy slope
488573,4274265,a red archway
499989,4048246,a gife standing in the grass
515904,3916022,a bathroom with a bathtub and a sink
519094,4457369,a cat is sitting on a chair with a scarf around its neck
527040,4506515,a table with a basket of bread and a newspaper
540775,4362543,a woman in a red shirt and black shorts playing tennis
547617,4173389,a tennis player is swinging at a ball
552775,4411786,a man in a kitchen with a stove and a microwave
64425,4211575,a traffic light
75076,4239243,a bench in the woods
87956,3982480,a man walking on the beach
90366,4100591,a cow and a dog are standing in the grass
93437,4326930,a man wearing a hat
